(.*m.yougou.com/index.php/order/cmbresult.*)|(.*m.yougou.com/index.php/order/payresult.*){}10759	1
.*www.lulutrip.com/checkout/do_pay/payment-credit/display-confirmed.*{}15996	1
http://m.yougou.com/index.php/order/submitorder.*{}10759	1
http://www.yongche.com/order/prepare_pay.php.*{}1096	1
http://www.yougou.com/order/createOrder.jhtml{}10759	1
.*.(redbaby|binggo).com.*ordersuccess.htm.*{}921	1
http://www.olele.cn/flow.php.*step=done.*{}1084	1
http://www.yougou.com/pay/payOnline.sc{}10759	1
http://www.koolearn.com/shopping.*{}232	1
.*checkout/orderConfirmation.*{}18770	1
.*www.adsage.cn/about_7.html.*{}23110	1
http://www.qiuchengxun.com{}12177	1
http://www.dkfdsl.com{}10648	1
http://WWW.AIQIYI.COM{}1187	1
http://WWW.BAIDU.COM{}12224	1
http://ww.sfkjoa.com{}12575	1
(.*www.zhuce.com.*){}10283	1
http://www.dfkj.com{}10556	1
.*www.anyplay.com.*{}10979	1
.*www.cvtest.com.*{}17179	1
.*www.aoxian.com.*{}17149	1
.*www.dsasad.com.*{}17922	1
.*www.comit.com.*{}22468	1
.*WWW.NIHAO.COM.*{}10979	1
.*www.inter.com.*{}17915	1
.*www.cvvv.vom.*{}17149	1
.*aimer.com.cn.*{}10729	1
.*www.444.com.*{}20437	1
.*www.ds.com.*{}17924	1
.*www.cv.com.*{}11065	1
.*www.test555.com.*{}10652	3
.*www.ninud.com.*{}10979	3
.*mail.adsage.com{}17149	5
.*www.glamour-sales.com.cn/customer/account/login.*{}11050	7
.*www.tianhong.cn/Cart/AddOrder.do.*{}18150	7
.*WWW.AA.COM.*{}10979	7
.*www.xianhua.com.*{}17149	15
.*www.hhh.com.*{}10979	15
(.*www.top1.cn/Products/OrderSaveOK.aspx.*)|(.*www.top1.cn/Products/OrderSaveOK.aspx.*)|(.*www.top1.cn/Products/OrderSaveOK.aspx.*){}12132	30
.*www.shishangqiyi.com/Order/Order_[Ee]nd(_bankcard_Alipay|_bankcard|_99bill|_creditcard|_alipay|).asp.*{}827	30
.*www.shishang71.com/Order/Order_[Ee]nd(_bankcard_Alipay|_bankcard|_99bill|_creditcard|_alipay|).asp.*{}827	30
(.*www.revolveclothing.com/AlipayWaiting.jsp.*)|(.*www.revolveclothing.com/AlipayWaiting.jsp.*){}10681	30
(.*www.revolveclothing.com/ExternalData.jsp.*)|(.*www.revolveclothing.com/ExternalData.jsp.*){}10681	30
(http://www.tianpin.com/respond.*|http://www.tianpin.com/[?]app_act=/respond/do_index.*){}10434	30
.*(www|outbound).cits.com.cn/cits/teamtravel/outbound/finishOrder.html[?].*{}784	30
.*(www|domestic).cits.com.cn/cits/teamtravel/domestic/finishOrder.html[?].*{}784	30
http://www.top1.cn/Products/TopOrderSaveOK.aspx[?]t=DayTransfer&NeedPay=1{}12132	30
.*(www|diy).cits.com.cn/cits/selftravel/selftravelsuccesstopage.html[?].*{}784	30
http://www.top1.cn/Products/TopOrderSaveOK.aspx[?]t=DayTransfer&NeedPay=0{}12132	30
